season,week,date,time_et,game_type,away,home,rank_away,rank_home,conf_away,conf_home,neutral,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,total_yards_away,total_yards_home,fum_away,fum_home,int_away,int_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,possession_away,possession_home,attendance,tv,home_nces_name,home_lat,home_lon,away_nces_name,away_lat,away_lon,game_lat,game_lon,processed_time
2002,8,2002-10-12,3:30 PM,regular,Texas,Oklahoma,3,2,big12,big12,True,24,35,7,7,3,7,0,3,8,3,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75587,,University of Oklahoma-Norman Campus,35.209407,-97.444211,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2002,,2003-01-03,8:00 PM,post,Ohio State,Miami (FL),2,1,big10,big-east,True,31,24,0,14,3,0,14,7,0,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Miami,25.72126,-80.278662,Ohio State University-Main Campus,39.999324,-83.014853,,,2025-10-25 15:33:50
2003,8,2003-10-11,3:30 PM,regular,Oklahoma,Texas,1,11,big12,big12,True,65,13,14,23,14,14,0,7,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75587,ABC Regional,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2004,10,2004-10-30,3:30 PM,regular,Florida,Georgia,,10,sec,sec,True,24,31,7,0,7,10,0,14,7,3,7,0,22,21,6,14,4,12,0,0,2,2,22,35,275,15,23,255,35,211,38,150,458,405,0,1,0,0,0,0,0,0,19.42,17.23,,,University of Georgia,33.956262,-83.374039,University of Florida,29.64629,-82.347911,,,2025-10-25 15:33:50
2005,6,2005-10-08,1:00 PM,regular,Oklahoma,Texas,,2,big12,big12,True,12,45,6,0,0,6,0,14,10,7,14,0,12,20,6,18,6,15,1,1,2,2,12,33,115,14,27,255,33,77,40,203,171,444,2,1,1,0,0,0,0,0,18.08,18.32,,ABC,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2006,6,2006-10-07,3:30 PM,regular,Texas,Oklahoma,7,14,big12,big12,True,28,10,7,0,14,7,0,0,10,0,0,0,13,13,3,10,8,16,0,0,1,1,11,18,123,15,27,229,32,124,36,124,232,333,0,3,0,2,3,30,11,72,17.02,18.9,76260,ABC,University of Oklahoma-Norman Campus,35.209407,-97.444211,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2007,6,2007-10-06,3:30 PM,regular,Oklahoma,Texas,10,19,big12,big12,True,28,21,7,7,7,7,0,0,14,0,7,0,20,16,9,18,5,12,0,0,0,1,21,32,254,19,26,350,41,170,29,61,414,385,0,1,0,1,9,87,9,69,19.52,17.15,80000,,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2008,1,2008-08-30,12:00 PM,regular,Virginia Tech,East Carolina,17,,acc,cusa,True,22,27,0,14,2,6,0,0,7,6,14,0,12,19,5,12,7,13,0,2,0,2,14,23,151,19,25,211,35,104,41,158,243,369,0,2,2,0,1,1,6,60,16.2,20.33,72169,ESPN,East Carolina University,35.607186,-77.368291,Virginia Polytechnic Institute and State University,37.229012,-80.423675,,,2025-10-25 15:33:50
2008,1,2008-08-30,8:30 PM,regular,Illinois,Missouri,20,6,big10,big12,True,42,52,6,7,15,14,0,7,24,14,7,0,24,28,7,17,9,17,2,2,0,2,26,42,493,26,45,329,35,81,37,226,532,549,0,1,2,1,8,80,3,29,18.15,17.73,66441,ESPN,University of Missouri-Columbia,38.94531,-92.328843,University of Illinois at Urbana-Champaign,40.104718,-88.229114,,,2025-10-25 15:33:50
2008,1,2008-08-31,7:30 PM,regular,Colorado State,Colorado,,,mwc,big12,True,17,38,0,14,3,0,0,0,21,7,10,0,18,19,2,12,5,11,1,4,2,2,27,38,214,20,29,214,26,71,36,153,258,367,0,1,2,1,4,18,8,58,19.35,16.43,69619,,University of Colorado Boulder,40.008781,-105.270823,Colorado State University-Fort Collins,40.574805,-105.080732,,,2025-10-25 15:33:50
2008,2,2008-09-06,7:00 PM,regular,Arkansas,UL-Monroe,,,sec,sun-belt,True,28,27,0,6,8,14,0,0,10,14,3,0,20,17,6,13,6,15,1,2,1,2,22,34,343,23,40,278,36,183,26,71,506,341,0,0,0,0,8,44,5,25,20.03,16.63,55048,ESPN College Extra,University of Louisiana at Monroe,32.527748,-92.07374,University of Arkansas,36.070009,-94.176981,,,2025-10-25 15:33:50
2008,7,2008-10-11,12:00 PM,regular,Texas,Oklahoma,5,1,big12,big12,True,45,35,3,17,10,15,0,7,14,7,7,0,23,20,6,13,7,15,0,0,0,3,28,35,302,28,41,409,35,161,26,48,438,435,0,0,0,2,6,55,10,73,22.53,13.32,92182,ABC,University of Oklahoma-Norman Campus,35.209407,-97.444211,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2008,10,2008-11-01,3:30 PM,regular,Florida,Georgia,8,6,sec,sec,True,49,10,7,7,21,14,0,0,3,0,7,0,22,21,4,9,4,12,1,1,1,2,13,17,194,20,37,308,38,185,29,106,373,398,0,1,0,3,8,60,8,49,17.53,19.13,84649,CBS,University of Georgia,33.956262,-83.374039,University of Florida,29.64629,-82.347911,,,2025-10-25 15:33:50
2008,14,2008-11-29,12:40 PM,regular,Kansas,Missouri,,13,big12,big12,True,40,37,3,16,7,14,0,0,10,13,14,0,24,23,12,19,7,12,2,2,0,0,37,51,389,25,42,296,32,63,26,190,438,478,0,1,2,2,3,29,3,9,21.15,14.08,79123,,University of Missouri-Columbia,38.94531,-92.328843,University of Kansas,38.958549,-95.247567,,,2025-10-25 15:33:50
2008,15,2008-12-05,8:00 PM,regular,Ball State,Buffalo,12,,mac,mac,True,24,42,0,10,7,7,0,7,0,21,14,0,30,18,7,16,3,9,1,3,0,0,31,48,361,19,29,214,41,152,26,95,503,301,4,2,1,0,6,45,5,40,20.2,15.47,12871,ESPN2,University at Buffalo,43.000942,-78.789458,Ball State University,40.203431,-85.409043,,,2025-10-25 15:33:50
2008,,2008-12-20,11:00 AM,post,Wake Forest,Navy,,,acc,ind,True,29,19,0,7,7,15,0,10,3,0,6,0,18,12,6,11,7,14,0,0,1,2,11,11,166,2,7,40,48,239,48,221,405,253,1,1,0,1,5,40,3,20,18.1,18.55,28777,ESPN,United States Naval Academy,38.980507,-76.481692,Wake Forest University,36.133609,-80.277446,,,2025-10-25 15:33:50
2008,,2008-12-20,4:30 PM,post,Memphis,USF,,,cusa,big-east,True,14,41,7,7,0,0,0,14,10,10,7,0,15,29,5,15,7,13,0,2,0,1,18,35,178,20,30,287,30,66,49,232,238,496,0,1,0,0,3,25,7,70,15.27,21.4,25205,ESPN2,University of South Florida,28.061458,-82.413232,University of Memphis,35.118878,-89.938068,,,2025-10-25 15:33:50
2008,,2008-12-24,8:00 PM,post,Hawaii,Notre Dame,,,wac,ind,True,21,49,0,7,7,7,0,7,21,21,0,0,22,23,3,13,4,11,0,0,1,1,28,44,381,24,28,421,19,32,34,65,358,478,1,0,1,0,8,69,5,60,16.45,20.03,43487,ESPN,University of Notre Dame,41.703058,-86.238959,University of Hawaii at Manoa,21.298598,-157.818979,,,2025-10-25 15:33:50
2008,,2008-12-26,7:30 PM,post,Florida Atlantic,Central Michigan,,,sun-belt,mac,True,24,21,7,3,7,7,0,0,10,3,8,0,27,20,4,11,4,14,0,0,1,3,20,36,332,28,40,259,36,112,31,127,418,380,2,0,0,1,2,25,5,45,19.5,17.17,41399,ESPN,Central Michigan University,43.591203,-84.77525,Florida Atlantic University,26.372421,-80.102978,,,2025-10-25 15:33:50
2008,,2008-12-27,1:00 PM,post,West Virginia,North Carolina,,,big-east,acc,True,31,30,21,0,3,7,0,14,9,7,0,0,20,15,12,19,5,11,0,1,0,1,26,32,351,16,26,284,42,123,29,93,455,370,1,1,1,1,1,10,4,37,20.4,16.27,73712,ESPN,University of North Carolina at Chapel Hill,35.911769,-79.050969,West Virginia University,39.634371,-79.954391,,,2025-10-25 15:33:50
2008,,2008-12-27,4:30 PM,post,Wisconsin,Florida State,,,big10,acc,True,13,42,0,3,3,7,0,0,14,14,14,0,16,23,2,10,10,17,0,0,0,1,9,16,149,23,37,289,38,201,38,134,333,410,4,0,0,0,2,25,7,85,15.15,21.45,52692,ESPN,Florida State University,30.440756,-84.291921,University of Wisconsin-Madison,43.075409,-89.404098,,,2025-10-25 15:33:50
2008,,2008-12-27,8:00 PM,post,Miami (FL),California,,,acc,pac12,True,17,24,0,7,7,3,0,14,0,3,7,0,17,11,7,19,2,11,2,2,1,2,25,41,221,10,21,121,32,119,30,217,313,338,2,1,1,0,3,30,2,10,20.57,15.72,42268,ESPN,University of California-Berkeley,37.871918,-122.260463,University of Miami,25.72126,-80.278662,,,2025-10-25 15:33:50
2008,,2008-12-28,8:15 PM,post,Northern Illinois,Louisiana Tech,,,mac,wac,True,10,17,7,0,3,0,0,7,7,3,0,0,17,12,7,16,2,14,0,2,0,1,20,41,186,12,27,159,31,153,31,92,339,236,1,1,2,0,7,70,6,40,20.53,16.58,41567,ESPN,Louisiana Tech University,32.528297,-92.649963,Northern Illinois University,41.933869,-88.766428,,,2025-10-25 15:33:50
2008,,2008-12-30,8:00 PM,post,Western Michigan,Rice,,,mac,cusa,True,14,38,0,0,0,14,0,10,14,7,7,0,15,28,3,14,13,20,2,3,1,1,20,43,217,31,47,349,19,61,37,135,278,455,0,0,2,0,5,53,8,64,13.52,23.15,58880,NFL Net,Rice University,29.717897,-95.402035,Western Michigan University,42.282194,-85.613759,,,2025-10-25 15:33:50
2008,,2009-01-01,1:00 PM,post,Georgia,Michigan State,15,18,sec,big10,True,24,12,3,0,14,7,0,3,3,0,6,0,19,16,5,12,4,16,0,1,1,3,20,31,265,22,39,245,33,81,34,31,331,236,1,0,1,1,7,53,5,50,18.35,18.3,59681,ABC,Michigan State University,42.73212,-84.476111,University of Georgia,33.956262,-83.374039,,,2025-10-25 15:33:50
2008,,2009-01-01,1:00 PM,post,Nebraska,Clemson,,,big12,acc,True,26,21,0,3,20,3,0,0,14,7,0,0,14,14,7,19,3,16,0,0,1,3,19,36,236,17,37,250,35,125,26,4,361,210,2,0,1,2,8,81,7,50,20.38,15.23,67282,CBS,Clemson University,34.679381,-82.835114,University of Nebraska-Lincoln,40.817598,-96.700508,,,2025-10-25 15:33:50
2008,,2009-01-02,2:00 PM,post,Ole Miss,Texas Tech,25,7,sec,big12,True,47,34,7,17,14,9,0,14,7,0,13,0,26,24,8,14,8,15,1,1,2,3,18,29,308,36,58,373,45,223,14,105,515,469,2,0,1,2,2,15,8,62,21.23,15.43,88175,FOX,Texas Tech University,33.583448,-101.874783,University of Mississippi,34.365529,-89.537434,,,2025-10-25 15:33:50
2008,,2009-01-03,12:00 PM,post,Buffalo,Connecticut,,,mac,big-east,True,20,38,3,17,0,0,0,7,10,7,14,0,10,19,2,17,4,9,1,1,0,0,29,43,221,4,6,66,19,24,49,358,237,407,0,6,1,0,5,25,3,29,19.77,23.67,40184,ESPN2,University of Connecticut,41.809098,-72.249948,University at Buffalo,43.000942,-78.789458,,,2025-10-25 15:33:50
2008,,2009-01-05,8:00 PM,post,Ohio State,Texas,10,3,big10,big12,True,21,24,3,3,0,15,0,0,3,14,7,0,21,33,4,12,6,17,0,0,3,4,10,25,202,41,58,459,39,203,29,54,379,468,0,0,0,1,7,67,8,65,18.53,17.93,72047,FOX,The University of Texas at Austin,30.282825,-97.738273,Ohio State University-Main Campus,39.999324,-83.014853,,,2025-10-25 15:33:50
2009,1,2009-09-05,3:40 PM,regular,Missouri,Illinois,,,big12,big10,True,37,9,10,6,14,7,0,0,3,0,6,0,21,18,9,17,6,16,1,1,0,2,26,35,341,22,37,223,37,117,35,110,442,325,0,1,0,1,5,45,4,40,18.57,18.1,,ESPN,University of Illinois at Urbana-Champaign,40.104718,-88.229114,University of Missouri-Columbia,38.94531,-92.328843,,,2025-10-25 15:33:50
2009,1,2009-09-05,7:00 PM,regular,BYU,Oklahoma,20,3,mwc,big12,True,14,13,0,7,0,7,0,7,3,0,3,0,17,15,8,17,2,11,1,1,0,0,26,38,348,16,26,148,33,28,31,118,357,265,2,2,2,0,10,87,12,93,22.05,14.22,,ESPN,University of Oklahoma-Norman Campus,35.209407,-97.444211,Brigham Young University-Provo,40.250851,-111.649281,,,2025-10-25 15:33:50
2009,5,2009-10-03,7:30 PM,regular,Texas A&M,Arkansas,,,big12,sec,True,19,47,10,0,3,6,0,7,23,7,10,0,27,16,7,18,5,12,0,3,0,0,30,58,354,17,27,281,35,113,31,163,458,434,2,2,0,1,8,87,7,52,19.42,21.13,,ESPN2,University of Arkansas,36.070009,-94.176981,Texas A & M University-College Station,30.618726,-96.336475,,,2025-10-25 15:33:50
2009,7,2009-10-17,12:00 PM,regular,Oklahoma,Texas,20,3,big12,big12,True,13,16,6,0,7,0,0,0,3,10,3,0,18,20,3,15,5,19,1,2,0,0,26,49,348,21,40,159,22,-16,40,142,311,269,3,2,2,1,10,125,11,103,21.38,20.77,,ABC,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2009,9,2009-10-31,3:30 PM,regular,Georgia,Florida,,1,sec,sec,True,17,41,0,10,7,0,0,14,10,7,10,0,16,22,4,12,7,13,1,1,0,0,11,23,190,15,21,168,33,121,40,210,286,374,0,0,4,0,8,73,6,49,17.4,19.27,,CBS,University of Florida,29.64629,-82.347911,University of Georgia,33.956262,-83.374039,,,2025-10-25 15:33:50
2009,13,2009-11-28,3:30 PM,regular,Missouri,Kansas,,,big12,big12,True,41,39,3,10,20,8,0,14,7,7,11,0,25,25,5,14,9,15,1,1,0,0,23,41,312,37,55,522,35,250,19,49,553,547,1,2,0,1,10,106,10,67,17.88,17.97,,ABC,University of Kansas,38.958549,-95.247567,University of Missouri-Columbia,38.94531,-92.328843,,,2025-10-25 15:33:50
2009,13,2009-11-28,6:00 PM,regular,Texas Tech,Baylor,,,big12,big12,True,20,13,0,3,14,3,0,3,7,3,0,0,22,19,5,15,8,17,3,5,1,3,31,49,274,22,35,262,28,100,39,104,369,342,1,1,1,1,3,20,7,44,18.32,18.12,,,Baylor University,31.546872,-97.121041,Texas Tech University,33.583448,-101.874783,,,2025-10-25 15:33:50
2009,14,2009-12-04,8:00 PM,regular,Ohio,Central Michigan,,,mac,mac,True,10,20,7,0,3,0,0,10,7,3,0,0,16,28,4,13,10,17,1,2,0,0,11,27,192,28,39,271,29,108,41,126,275,381,1,0,0,1,6,60,9,80,14.15,22.52,,ESPN2,Central Michigan University,43.591203,-84.77525,Ohio University-Main Campus,39.326798,-82.100985,,,2025-10-25 15:33:50
2009,14,2009-12-05,8:00 PM,regular,Texas,Nebraska,3,22,big12,big12,True,13,12,0,7,3,3,0,6,0,0,6,0,17,5,6,19,2,16,0,0,1,1,20,36,236,6,20,47,38,18,35,67,202,106,0,0,3,3,7,45,7,64,19.23,17.02,,ABC,University of Nebraska-Lincoln,40.817598,-96.700508,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2009,,2009-12-19,8:00 PM,post,UCF,Rutgers,,,cusa,big-east,True,24,45,7,10,0,7,0,14,14,10,7,0,14,15,4,15,8,15,0,1,0,0,18,35,256,14,28,302,30,35,32,86,255,380,0,1,2,1,5,45,10,80,17.55,24.63,,ESPN,Rutgers University-New Brunswick,40.498769,-74.446251,University of Central Florida,28.602159,-81.200889,,,2025-10-25 15:33:50
2009,,2009-12-26,1:00 PM,post,Marshall,Ohio,,,cusa,mac,True,21,17,14,7,0,0,0,0,7,10,0,0,15,10,8,16,3,14,0,1,0,1,12,17,89,14,27,148,46,190,24,12,275,123,1,1,0,1,6,70,3,39,30.95,14.33,,ESPN,Ohio University-Main Campus,39.326798,-82.100985,Marshall University,38.422482,-82.428964,,,2025-10-25 15:33:50
2009,,2009-12-26,4:30 PM,post,Pittsburgh,North Carolina,17,,big-east,acc,True,19,17,0,13,3,3,0,7,3,7,0,0,17,18,6,15,6,13,1,1,1,2,17,24,182,19,33,205,36,129,29,81,292,264,1,1,0,1,4,26,8,78,15.32,18.58,,ESPN,University of North Carolina at Chapel Hill,35.911769,-79.050969,University of Pittsburgh-Pittsburgh Campus,40.444388,-79.953254,,,2025-10-25 15:33:50
2009,,2009-12-26,8:00 PM,post,Boston College,USC,,24,acc,pac12,True,13,24,0,13,0,0,0,7,7,3,7,0,18,20,4,12,6,12,0,1,0,0,14,33,234,27,37,360,30,94,29,88,312,438,1,0,1,2,4,30,6,37,15.62,21.05,,ESPN,University of Southern California,34.021281,-118.284169,Boston College,42.336213,-71.169242,,,2025-10-25 15:33:50
2009,,2009-12-28,5:00 PM,post,Texas A&M,Georgia,,,big12,sec,True,20,44,0,7,7,6,0,0,14,10,20,0,26,17,10,20,7,15,0,2,0,0,29,59,374,15,28,158,33,109,40,208,471,366,0,0,2,1,7,65,6,39,17.32,19.17,,ESPN2,University of Georgia,33.956262,-83.374039,Texas A & M University-College Station,30.618726,-96.336475,,,2025-10-25 15:33:50
2009,,2009-12-29,4:30 PM,post,UCLA,Temple,,,pac12,mac,True,30,21,7,3,7,13,0,7,14,0,0,0,13,16,5,15,5,16,1,1,0,2,16,31,228,13,23,179,28,93,42,123,314,282,0,0,1,2,4,40,3,10,16.42,19.42,,ESPN,Temple University,39.980546,-75.156859,University of California-Los Angeles,34.07178,-118.442179,,,2025-10-25 15:33:50
2009,,2009-12-29,8:00 PM,post,Miami (FL),Wisconsin,15,25,acc,big10,True,14,20,7,0,0,7,0,7,10,0,3,0,14,17,2,11,6,14,0,3,0,0,16,30,213,19,26,268,23,61,42,170,249,430,1,2,0,1,3,20,6,60,12.33,23.83,,ESPN,University of Wisconsin-Madison,43.075409,-89.404098,University of Miami,25.72126,-80.278662,,,2025-10-25 15:33:50
2009,,2009-12-31,3:30 PM,post,Navy,Missouri,,,ind,big12,True,35,13,7,7,7,14,0,7,3,0,3,0,28,17,8,15,4,11,2,3,0,1,9,14,137,15,31,323,67,391,26,65,521,356,2,1,0,2,2,10,0,0,24.7,11.62,,ESPN,University of Missouri-Columbia,38.94531,-92.328843,United States Naval Academy,38.980507,-76.481692,,,2025-10-25 15:33:50
2009,,2010-01-01,1:00 PM,post,Penn State,LSU,13,12,big10,sec,True,19,17,7,6,3,3,0,0,3,7,7,0,21,9,7,19,3,12,0,0,0,0,18,35,227,13,24,219,40,124,25,41,340,243,0,2,0,1,2,10,10,64,23.32,13.17,,ABC,Louisiana State University and Agricultural & Mechanical College,30.414986,-91.178921,Pennsylvania State University-Main Campus,40.7965,-77.862848,,,2025-10-25 15:33:50
2009,,2010-01-01,1:00 PM,post,West Virginia,Florida State,16,,big-east,acc,True,21,33,14,0,0,7,0,3,10,10,10,0,18,24,4,11,7,14,1,2,0,0,9,19,163,17,24,189,38,207,46,225,314,414,0,0,1,0,3,29,7,69,13.55,22.63,,CBS,Florida State University,30.440756,-84.291921,West Virginia University,39.634371,-79.954391,,,2025-10-25 15:33:50
2009,,2010-01-02,12:00 PM,post,USF,Northern Illinois,,,big-east,mac,True,27,3,3,0,10,14,0,0,3,0,0,0,18,11,7,15,3,13,0,0,0,2,14,22,261,12,26,134,40,189,31,108,406,238,1,1,0,1,4,28,3,33,26.67,16.65,,ESPN2,Northern Illinois University,41.933869,-88.766428,University of South Florida,28.061458,-82.413232,,,2025-10-25 15:33:50
2009,,2010-01-02,2:00 PM,post,Oklahoma State,Ole Miss,19,,big12,sec,True,7,21,0,0,7,0,0,0,7,0,14,0,9,20,2,13,9,19,0,2,0,1,14,32,127,15,30,193,28,140,50,193,259,364,3,1,4,4,5,57,9,67,15.05,21.28,,FOX,University of Mississippi,34.365529,-89.537434,Oklahoma State University-Main Campus,36.123085,-97.069743,,,2025-10-25 15:33:50
2009,,2010-01-02,2:00 PM,post,South Carolina,Connecticut,,,sec,big-east,True,7,20,0,0,0,7,0,10,3,0,7,0,12,17,3,15,9,19,2,5,0,0,16,38,154,9,22,115,26,76,48,146,205,253,1,1,1,0,4,41,0,0,14.77,21.28,,ESPN,University of Connecticut,41.809098,-72.249948,University of South Carolina-Columbia,33.996788,-81.026935,,,2025-10-25 15:33:50
2009,,2010-01-04,8:00 PM,post,Boise State,TCU,6,4,wac,mwc,True,17,10,7,3,0,7,0,0,7,3,0,0,16,17,6,18,1,12,2,2,0,1,24,40,240,25,44,283,32,77,20,36,317,308,1,0,0,3,7,70,7,53,21.08,15,,FOX,Texas Christian University,32.70961,-97.364758,Boise State University,43.604284,-116.203301,,,2025-10-25 15:33:50
