season,week,date,time_et,game_type,away,home,rank_away,rank_home,conf_away,conf_home,neutral,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,first_downs_away,first_downs_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,total_yards_away,total_yards_home,fum_away,fum_home,int_away,int_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,possession_away,possession_home,attendance,tv,home_nces_name,home_lat,home_lon,away_nces_name,away_lat,away_lon,game_lat,game_lon,processed_time
2010,1,2010-09-04,12:30 PM,regular,Illinois,Missouri,,,big10,big12,True,13,23,3,10,0,0,0,0,3,7,13,0,16,23,5,12,9,18,0,1,0,0,9,23,90,34,48,295,41,200,29,98,281,379,1,1,3,0,7,44,7,80,18.65,18.02,,,University of Missouri-Columbia,38.94531,-92.328843,University of Illinois at Urbana-Champaign,40.104718,-88.229114,,,2025-10-25 15:33:50
2010,1,2010-09-04,2:00 PM,regular,Colorado,Colorado State,,,big12,mwc,True,24,3,7,10,7,0,0,0,0,0,3,0,18,14,5,13,1,12,0,0,0,2,17,25,221,24,33,208,35,115,25,49,307,245,0,0,1,3,10,101,2,29,19.83,16.62,,,Colorado State University-Fort Collins,40.574805,-105.080732,University of Colorado Boulder,40.008781,-105.270823,,,2025-10-25 15:33:50
2010,1,2010-09-04,3:30 PM,regular,Texas,Rice,5,,big12,cusa,True,34,17,0,24,7,3,0,3,7,0,7,0,20,14,7,14,4,14,0,1,0,0,14,24,172,12,18,163,46,197,42,88,369,219,1,1,0,1,4,30,4,40,27.15,17.42,,ESPN3,Rice University,29.717897,-95.402035,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2010,1,2010-09-04,7:00 PM,regular,Louisiana Tech,Grambling State,,,wac,,True,20,6,7,10,0,3,0,3,0,3,0,0,20,18,4,13,4,14,0,1,0,0,23,31,212,15,25,175,38,140,37,102,336,260,1,0,0,2,9,70,8,52,16.95,19.72,,,Grambling State University,32.523797,-92.713245,Louisiana Tech University,32.528297,-92.649963,,,2025-10-25 15:33:50
2010,1,2010-09-04,7:45 PM,regular,Oregon State,TCU,24,6,pac12,mwc,True,21,30,7,7,7,0,0,7,14,7,2,0,13,28,4,11,11,17,1,1,0,0,10,26,188,17,27,181,25,73,54,278,255,453,0,0,0,2,4,30,6,45,12.2,23.53,,ESPN3,Texas Christian University,32.70961,-97.364758,Oregon State University,44.56395,-123.274723,,,2025-10-25 15:33:50
2010,1,2010-09-06,4:00 PM,regular,Navy,Maryland,,,ind,acc,True,14,17,0,7,7,0,0,14,0,0,3,0,26,11,10,18,1,5,1,2,0,0,6,10,78,2,5,22,72,412,34,261,485,272,2,1,0,1,5,35,4,30,23.78,12.32,,ESPN3,University of Maryland-College Park,38.988178,-76.944721,United States Naval Academy,38.980507,-76.481692,,,2025-10-25 15:33:50
2010,1,2010-09-06,8:00 PM,regular,Boise State,Virginia Tech,3,10,wac,acc,True,33,30,17,3,6,7,0,0,14,13,3,0,18,22,6,15,4,12,0,0,1,2,23,38,234,15,22,198,24,168,44,128,383,314,2,1,0,0,11,105,7,75,15.28,20.32,,ESPN3,Virginia Polytechnic Institute and State University,37.229012,-80.423675,Boise State University,43.604284,-116.203301,,,2025-10-25 15:33:50
2010,2,2010-09-11,12:00 PM,regular,Michigan State,Florida Atlantic,,,big10,sun-belt,True,30,17,10,10,7,3,0,7,0,7,3,0,17,20,1,7,7,16,0,0,2,2,9,17,153,24,37,271,30,225,34,45,367,301,1,1,1,0,4,43,10,70,13.35,22.23,,ESPNU,Florida Atlantic University,26.372421,-80.102978,Michigan State University,42.73212,-84.476111,,,2025-10-25 15:33:50
2010,2,2010-09-11,7:00 PM,regular,Arkansas,UL-Monroe,14,,sec,sun-belt,True,31,7,7,0,7,17,0,0,0,0,7,0,26,10,6,14,3,14,1,4,1,1,28,43,407,8,19,89,31,99,37,116,499,188,2,1,1,1,6,46,8,70,19.85,16.82,,ESPN3,University of Louisiana at Monroe,32.527748,-92.07374,University of Arkansas,36.070009,-94.176981,,,2025-10-25 15:33:50
2010,3,2010-09-18,12:00 PM,regular,Iowa State,Kansas State,,,big12,big12,True,20,27,0,7,10,3,0,3,7,7,10,0,20,24,5,15,4,9,3,4,0,1,15,28,132,6,12,112,40,171,50,262,293,366,1,0,0,1,8,64,4,37,19.47,17.2,,,Kansas State University,39.188648,-96.581077,Iowa State University,42.026212,-93.648504,,,2025-10-25 15:33:50
2010,5,2010-10-02,3:30 PM,regular,Texas,Oklahoma,21,8,big12,big12,True,20,28,7,0,3,10,0,14,7,0,7,0,15,26,5,16,9,20,1,1,1,3,27,42,293,24,39,259,22,107,52,124,373,360,1,0,1,0,9,81,5,29,24.37,20.28,,ABC,University of Oklahoma-Norman Campus,35.209407,-97.444211,The University of Texas at Austin,30.282825,-97.738273,,,2025-10-25 15:33:50
2010,6,2010-10-09,12:00 PM,regular,Baylor,Texas Tech,,,big12,big12,True,38,45,14,14,3,7,0,14,21,10,0,0,22,35,7,15,10,16,1,2,1,1,33,45,434,42,59,484,30,80,36,173,507,635,0,0,0,1,9,65,6,42,18.8,17.65,,,Texas Tech University,33.583448,-101.874783,Baylor University,31.546872,-97.121041,,,2025-10-25 15:33:50
2010,6,2010-10-09,3:30 PM,regular,Arkansas,Texas A&M,11,,sec,big12,True,24,17,14,7,3,0,0,7,7,3,0,0,18,17,6,17,4,17,0,1,2,2,27,38,332,15,41,224,36,132,33,112,442,324,1,3,1,1,13,108,10,65,20.88,15.78,,ABC,Texas A & M University-College Station,30.618726,-96.336475,University of Arkansas,36.070009,-94.176981,,,2025-10-25 15:33:50
2010,8,2010-10-23,12:00 PM,regular,Notre Dame,Navy,,,ind,ind,True,17,35,3,7,0,7,0,7,14,14,0,0,22,21,6,12,10,13,1,3,0,0,25,38,262,2,2,71,30,106,60,367,363,438,0,0,2,0,1,15,0,0,14.85,21.82,,CBS,United States Naval Academy,38.980507,-76.481692,University of Notre Dame,41.703058,-86.238959,,,2025-10-25 15:33:50
2010,9,2010-10-30,3:30 PM,regular,Florida,Georgia,,,sec,sec,True,34,31,0,21,0,10,3,0,7,3,21,0,23,22,4,14,8,15,0,1,0,0,18,27,240,18,37,336,50,231,34,126,450,439,0,1,1,3,9,54,2,25,18.63,18.03,,CBS,University of Georgia,33.956262,-83.374039,University of Florida,29.64629,-82.347911,,,2025-10-25 15:33:50
2010,12,2010-11-20,12:00 PM,regular,Penn State,Indiana,,,big10,big10,True,41,24,7,10,14,10,0,0,14,10,0,0,24,18,11,17,4,13,0,1,0,2,24,33,331,23,42,253,42,171,21,90,496,332,0,0,0,1,5,35,0,0,22.6,13.62,,BIG10,Indiana University-Bloomington,39.16609,-86.526559,Pennsylvania State University-Main Campus,40.7965,-77.862848,,,2025-10-25 15:33:50
2010,12,2010-11-20,7:00 PM,regular,Army,Notre Dame,,,ind,ind,True,3,27,3,0,0,0,0,0,17,10,0,0,8,15,7,16,8,14,0,0,0,0,2,8,39,13,20,214,43,135,38,155,174,369,0,0,2,1,3,28,5,55,17.35,18.63,,NBC,University of Notre Dame,41.703058,-86.238959,United States Military Academy,41.390479,-73.956603,,,2025-10-25 15:33:50
2010,13,2010-11-27,12:30 PM,regular,Kansas,Missouri,,14,big12,big12,True,7,35,0,0,7,0,0,14,7,7,7,0,12,21,4,15,9,16,1,3,1,1,7,24,86,16,26,186,36,96,46,218,141,397,0,0,3,2,2,15,9,117,16.3,20.33,,,University of Missouri-Columbia,38.94531,-92.328843,University of Kansas,38.958549,-95.247567,,,2025-10-25 15:33:50
2010,14,2010-12-03,7:00 PM,regular,Northern Illinois,Miami (OH),25,,mac,mac,True,21,26,14,0,0,7,0,13,0,7,6,0,18,19,6,13,6,16,0,1,2,3,15,29,309,29,46,362,32,92,26,99,373,432,1,0,0,0,3,15,1,5,16.05,20.5,,ESPN3,Miami University-Oxford,39.507757,-84.732954,Northern Illinois University,41.933869,-88.766428,,,2025-10-25 15:33:50
2010,14,2010-12-04,7:45 PM,regular,Florida State,Virginia Tech,21,15,acc,acc,True,33,44,10,7,7,9,0,14,7,14,9,0,19,21,6,12,13,18,1,3,1,2,23,32,291,18,28,269,28,53,43,179,341,442,0,0,2,0,0,0,4,36,14.9,21.25,,ESPN3,Virginia Polytechnic Institute and State University,37.229012,-80.423675,Florida State University,30.440756,-84.291921,,,2025-10-25 15:33:50
2010,14,2010-12-04,8:00 PM,regular,Oklahoma,Nebraska,9,13,big12,big12,True,23,20,0,17,3,3,0,10,10,0,0,0,19,13,1,16,4,17,2,4,1,2,23,41,364,13,28,200,38,112,43,145,454,293,0,3,1,1,6,47,3,15,17.33,19.65,,ABC,University of Nebraska-Lincoln,40.817598,-96.700508,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:50
2010,,2010-12-21,8:00 PM,post,Southern Miss,Louisville,,,cusa,big-east,True,28,31,14,7,0,7,0,0,21,0,10,0,24,15,5,16,7,15,1,2,0,0,21,34,234,20,32,179,40,170,29,109,396,287,1,1,0,0,6,45,9,54,17.47,18.95,,ESPN3,University of Louisville,38.216862,-85.760412,University of Southern Mississippi,31.32661,-89.331236,,,2025-10-25 15:33:50
2010,,2010-12-24,8:00 PM,post,Hawaii,Tulsa,24,,wac,cusa,True,35,62,0,14,14,7,0,10,17,21,14,0,28,18,3,12,3,11,2,3,0,0,30,56,525,17,32,373,27,71,31,188,550,531,1,2,5,0,6,42,4,45,20.17,16.5,,ESPN3,University of Tulsa,36.152324,-95.945941,University of Hawaii at Manoa,21.298598,-157.818979,,,2025-10-25 15:33:50
2010,,2010-12-26,8:30 PM,post,FIU,Toledo,,,sun-belt,mac,True,34,32,0,7,14,13,0,7,14,3,8,0,15,24,2,13,4,13,3,4,1,1,16,28,164,15,27,151,37,168,43,304,308,436,0,1,1,3,4,44,9,57,17.65,19.37,,ESPN3,University of Toledo,41.660572,-83.614714,Florida International University,25.75732,-80.373928,,,2025-10-25 15:33:50
2010,,2010-12-27,5:00 PM,post,Air Force,Georgia Tech,,,mwc,acc,True,14,7,3,3,0,8,0,7,0,0,0,0,17,18,6,18,8,18,2,5,2,3,11,23,117,5,14,51,49,170,57,279,287,320,0,3,0,1,1,5,3,22,18.67,24.02,,ESPN3,Georgia Institute of Technology-Main Campus,33.77242,-84.394832,United States Air Force Academy,39.010957,-104.891358,,,2025-10-25 15:33:51
2010,,2010-12-28,6:30 PM,post,West Virginia,NC State,22,,big-east,acc,True,7,23,0,7,0,0,0,7,3,6,7,0,19,21,6,13,8,20,0,1,0,1,22,39,219,28,45,294,25,130,36,103,326,378,4,1,1,0,3,31,4,39,13.53,28.3,,ESPN3,North Carolina State University at Raleigh,35.785111,-78.674517,West Virginia University,39.634371,-79.954391,,,2025-10-25 15:33:51
2010,,2010-12-29,2:30 PM,post,East Carolina,Maryland,,,cusa,acc,True,20,51,0,3,10,7,0,6,10,21,14,0,19,19,7,19,5,11,1,3,1,1,39,62,324,13,22,181,21,32,38,297,343,478,2,0,2,2,15,120,11,98,17.92,18,,ESPN3,University of Maryland-College Park,38.988178,-76.944721,East Carolina University,35.607186,-77.368291,,,2025-10-25 15:33:51
2010,,2010-12-29,6:00 PM,post,Illinois,Baylor,,,big10,big12,True,38,14,6,10,8,14,0,0,0,7,7,0,25,24,6,14,2,10,0,0,1,2,18,23,259,31,43,333,50,291,29,124,533,437,0,2,0,0,6,51,7,74,20.58,16.08,,ESPN3,Baylor University,31.546872,-97.121041,University of Illinois at Urbana-Champaign,40.104718,-88.229114,,,2025-10-25 15:33:51
2010,,2010-12-30,3:20 PM,post,Kansas State,Syracuse,,,big12,big-east,True,34,36,7,7,7,13,0,7,7,13,9,0,19,23,6,14,8,14,3,4,0,2,18,25,259,13,22,250,36,121,43,259,379,498,0,0,0,0,4,35,4,45,18.98,17.33,,ESPN3,Syracuse University,43.040176,-76.136975,Kansas State University,39.188648,-96.581077,,,2025-10-25 15:33:51
2010,,2010-12-31,12:00 PM,post,USF,Clemson,,,big-east,acc,True,31,26,7,10,7,7,0,3,10,0,13,0,18,17,9,14,5,16,0,0,3,3,20,28,202,24,41,262,37,90,27,50,279,296,1,0,1,2,3,40,6,46,18.58,17.75,,ESPN3,Clemson University,34.679381,-82.835114,University of South Florida,28.061458,-82.413232,,,2025-10-25 15:33:51
2010,,2010-12-31,2:00 PM,post,Notre Dame,Miami (FL),,,ind,acc,True,33,17,14,13,3,3,0,0,3,0,14,0,22,20,9,19,7,12,1,1,0,1,15,29,201,26,40,335,48,196,25,87,397,406,0,0,0,4,3,20,10,90,22.45,13.22,,CBS,University of Miami,25.72126,-80.278662,University of Notre Dame,41.703058,-86.238959,,,2025-10-25 15:33:51
2010,,2011-01-01,12:00 PM,post,Northwestern,Texas Tech,,,big10,big12,True,38,45,0,6,18,14,0,10,14,14,7,0,23,34,6,16,8,15,3,4,1,1,14,30,150,43,56,369,50,229,29,183,375,552,0,1,1,1,7,52,3,34,18.33,17.63,,ESPNU,Texas Tech University,33.583448,-101.874783,Northwestern University,42.050356,-87.679858,,,2025-10-25 15:33:51
2010,,2011-01-01,1:00 PM,post,Alabama,Michigan State,16,9,sec,big10,True,49,7,7,21,14,7,0,0,0,0,7,0,25,12,8,13,6,16,1,1,1,2,19,23,271,14,29,287,44,275,28,-48,546,171,0,0,0,1,3,25,8,45,19.7,16.17,,ESPN3,Michigan State University,42.73212,-84.476111,The University of Alabama,33.211875,-87.545978,,,2025-10-25 15:33:51
2010,,2011-01-01,1:30 PM,post,Mississippi State,Michigan,21,,sec,big10,True,52,14,10,21,14,7,0,14,0,0,0,0,26,17,9,17,2,10,5,5,0,5,18,23,300,27,41,254,58,204,25,88,485,342,0,1,1,1,3,23,5,40,21.6,14.48,,ESPN3,University of Michigan-Ann Arbor,42.275921,-83.742769,Mississippi State University,33.454852,-88.790139,,,2025-10-25 15:33:51
2010,,2011-01-01,8:30 PM,post,Connecticut,Oklahoma,,7,big-east,big12,True,20,48,0,10,10,0,0,14,6,14,14,0,19,27,5,17,7,15,0,3,0,1,19,39,242,34,50,429,41,112,30,95,335,524,0,1,2,1,3,25,1,3,18.82,24.08,,ESPN3,University of Oklahoma-Norman Campus,35.209407,-97.444211,University of Connecticut,41.809098,-72.249948,,,2025-10-25 15:33:51
2010,,2011-01-07,8:30 PM,post,LSU,Texas A&M,11,17,sec,big12,True,41,24,7,21,7,6,0,10,7,0,7,0,24,23,9,15,3,9,0,0,1,1,10,19,168,23,36,237,55,288,29,155,446,373,0,1,1,3,3,25,4,40,22.4,13.2,,FOX,Texas A & M University-College Station,30.618726,-96.336475,Louisiana State University and Agricultural & Mechanical College,30.414986,-91.178921,,,2025-10-25 15:33:51
2010,,2011-01-09,9:00 PM,post,Nevada,Boston College,15,,wac,acc,True,20,13,14,3,3,0,0,7,0,3,3,0,16,12,6,18,4,15,0,0,0,0,20,33,201,14,34,140,40,114,25,64,306,185,2,0,1,2,6,75,6,51,21.17,15.45,,ESPN3,Boston College,42.336213,-71.169242,University of Nevada-Reno,39.543642,-119.815377,,,2025-10-25 15:33:51
2010,,2011-01-10,8:38 PM,post,Auburn,Oregon,1,2,sec,pac12,True,22,19,0,16,3,3,0,0,11,0,8,0,28,23,9,17,5,15,0,1,2,3,20,35,278,28,41,378,50,254,32,75,519,449,1,0,1,2,5,47,6,37,20.22,16.45,,ESPN3,University of Oregon,44.045146,-123.075792,Auburn University,32.599378,-85.488258,,,2025-10-25 15:33:51
2011,1,2011-09-03,7:00 PM,regular,Indiana,Ball State,,,big10,mac,True,20,27,7,10,0,3,0,0,14,10,3,0,18,24,8,16,10,15,1,2,0,0,20,32,288,23,29,173,32,103,46,210,375,383,0,0,0,0,3,44,5,54,14.37,22.08,,,Ball State University,40.203431,-85.409043,Indiana University-Bloomington,39.16609,-86.526559,,,2025-10-25 15:33:51
2011,1,2011-09-03,7:00 PM,regular,East Carolina,South Carolina,,12,cusa,sec,True,37,56,7,17,7,6,0,0,14,28,14,0,21,16,9,19,6,12,2,2,2,2,37,56,260,10,25,137,28,85,40,220,345,351,4,4,1,0,3,30,8,55,18.13,26.58,,ESPN3,University of South Carolina-Columbia,33.996788,-81.026935,East Carolina University,35.607186,-77.368291,,,2025-10-25 15:33:51
2011,1,2011-09-03,8:00 PM,regular,Oregon,LSU,3,4,pac12,sec,True,27,40,6,7,0,14,0,3,13,14,10,0,18,18,9,19,6,15,1,2,0,0,31,54,240,10,22,104,28,95,48,175,335,273,3,1,1,0,12,95,5,31,16.22,19.73,,ABC,Louisiana State University and Agricultural & Mechanical College,30.414986,-91.178921,University of Oregon,44.045146,-123.075792,,,2025-10-25 15:33:51
2011,3,2011-09-17,1:30 PM,regular,Colorado State,Colorado,,,mwc,pac12,True,14,28,7,0,0,7,0,0,14,7,7,0,16,23,5,13,8,15,0,1,0,0,20,30,196,17,32,225,25,67,34,145,243,360,1,0,0,0,9,75,10,114,16.83,19.33,,,University of Colorado Boulder,40.008781,-105.270823,Colorado State University-Fort Collins,40.574805,-105.080732,,,2025-10-25 15:33:51
2011,3,2011-09-17,3:30 PM,regular,Wisconsin,Northern Illinois,7,,big10,mac,True,49,7,14,14,14,7,0,7,0,0,0,0,34,11,10,14,4,13,0,0,0,0,24,34,355,17,27,183,47,266,25,64,621,237,0,0,1,0,6,45,4,35,21.83,13.42,,ESPN3,Northern Illinois University,41.933869,-88.766428,University of Wisconsin-Madison,43.075409,-89.404098,,,2025-10-25 15:33:51
2011,5,2011-10-01,12:00 PM,regular,Texas A&M,Arkansas,14,18,big12,sec,True,38,42,14,21,0,3,0,7,10,10,15,0,30,28,7,15,8,17,0,1,0,0,25,35,247,30,51,541,54,381,30,71,628,581,1,0,1,0,7,72,14,112,19.27,17.4,,ESPN3,University of Arkansas,36.070009,-94.176981,Texas A & M University-College Station,30.618726,-96.336475,,,2025-10-25 15:33:51
2011,6,2011-10-08,12:00 PM,regular,Oklahoma,Texas,3,11,big12,big12,True,55,17,6,28,14,7,0,3,7,0,7,0,22,22,8,15,5,16,0,2,1,3,31,52,371,20,36,307,19,86,45,36,453,259,1,3,0,2,7,68,5,60,13.23,22.37,,ABC,The University of Texas at Austin,30.282825,-97.738273,University of Oklahoma-Norman Campus,35.209407,-97.444211,,,2025-10-25 15:33:51
2011,9,2011-10-28,8:00 PM,regular,BYU,TCU,,,ind,mwc,True,28,38,10,0,10,8,0,14,14,7,3,0,24,14,8,15,5,14,0,3,1,1,15,31,230,13,23,157,50,139,39,136,354,283,1,0,2,0,5,39,6,58,18.6,17.23,,ESPN3,Texas Christian University,32.70961,-97.364758,Brigham Young University-Provo,40.250851,-111.649281,,,2025-10-25 15:33:51
2011,9,2011-10-29,3:30 PM,regular,Georgia,Florida,22,,sec,sec,True,24,20,0,10,7,7,0,7,10,3,0,0,23,11,7,19,2,13,3,3,1,2,15,34,180,12,34,288,49,185,22,-19,354,226,0,2,1,0,4,22,14,106,23,13.47,,CBS,University of Florida,29.64629,-82.347911,University of Georgia,33.956262,-83.374039,,,2025-10-25 15:33:51
2011,11,2011-11-12,3:30 PM,regular,Rutgers,Army,,,big-east,ind,True,27,12,0,6,7,14,0,6,0,0,6,0,18,12,5,10,6,18,0,0,1,4,17,27,208,6,15,82,26,118,54,228,314,305,0,0,2,0,4,25,6,59,14.92,21.58,,,United States Military Academy,41.390479,-73.956603,Rutgers University-New Brunswick,40.498769,-74.446251,,,2025-10-25 15:33:51
2011,11,2011-11-12,7:30 PM,regular,Maryland,Notre Dame,,,acc,ind,True,21,45,0,7,0,14,0,10,14,14,7,0,20,30,3,12,10,16,2,2,1,1,20,31,219,30,38,318,35,145,46,212,364,508,0,0,1,0,5,36,3,35,15.57,20.77,,NBC,University of Notre Dame,41.703058,-86.238959,University of Maryland-College Park,38.988178,-76.944721,,,2025-10-25 15:33:51
2011,13,2011-11-26,3:30 PM,regular,Missouri,Kansas,,,big12,big12,True,24,10,0,3,14,7,0,0,10,0,0,0,18,10,4,14,3,16,0,0,2,4,13,21,196,10,21,93,48,171,38,65,351,137,0,1,3,2,2,25,6,49,19.2,17.15,,,University of Kansas,38.958549,-95.247567,University of Missouri-Columbia,38.94531,-92.328843,,,2025-10-25 15:33:51
2011,14,2011-12-02,7:00 PM,regular,Ohio,Northern Illinois,,,mac,mac,True,20,23,10,10,0,0,0,0,0,7,16,0,21,19,7,18,6,13,1,1,0,0,19,32,258,16,26,260,39,130,36,155,372,405,0,3,3,1,5,45,4,30,20.37,15.83,,ESPN3,Northern Illinois University,41.933869,-88.766428,Ohio University-Main Campus,39.326798,-82.100985,,,2025-10-25 15:33:51
2011,14,2011-12-03,4:00 PM,regular,Georgia,LSU,16,1,sec,sec,True,10,42,10,0,0,0,0,0,7,21,14,0,19,13,7,21,1,9,1,2,0,0,20,51,250,5,13,53,34,78,35,207,296,237,1,0,2,0,9,87,8,54,22.6,14.07,,CBS,Louisiana State University and Agricultural & Mechanical College,30.414986,-91.178921,University of Georgia,33.956262,-83.374039,,,2025-10-25 15:33:51
2011,14,2011-12-03,8:00 PM,regular,Virginia Tech,Clemson,11,15,acc,acc,True,10,38,7,3,0,0,0,7,3,21,7,0,19,25,7,16,6,14,1,3,0,1,22,44,296,20,30,246,29,56,45,217,330,457,1,0,2,0,9,91,5,35,17.82,18.07,,ESPN3,Clemson University,34.679381,-82.835114,Virginia Polytechnic Institute and State University,37.229012,-80.423675,,,2025-10-25 15:33:51
2011,15,2011-12-10,2:30 PM,regular,Army,Navy,,,ind,ind,True,21,27,0,14,7,0,0,7,7,7,6,0,19,21,6,11,6,14,0,1,2,2,4,6,82,1,3,32,50,298,66,296,375,309,3,2,0,0,5,45,2,10,15.03,21.63,,CBS,United States Naval Academy,38.980507,-76.481692,United States Military Academy,41.390479,-73.956603,,,2025-10-25 15:33:51
