cfb_school,nces_name,processed_date,latitude,longitude,avg_temperature_2m,avg_humidity_2m,avg_wind_speed_10m,avg_wind_direction_10m,total_precipitation,avg_weather_code,weather_data_points
Abilene Christian,Abilene Christian University,2025-10-24T01:07:19.903300,32.468943,-99.709797,23.44102564102564,48.399698340874814,13.915686274509804,169.7083961789844,123.0,3.948717948717949,1989
Air Force,United States Air Force Academy,2025-10-24T01:07:19.903300,39.010957,-104.891358,11.915937657114128,40.88939165409754,9.117998994469582,195.7114127702363,72.9,6.108094519859225,1989
Akron,University of Akron Main Campus,2025-10-24T01:07:19.903300,41.078551,-81.511679,14.648567119155354,65.85067873303167,12.150678733031675,211.03670186023126,278.8,12.285570638511816,1989
Alabama,The University of Alabama,2025-10-24T01:07:19.903300,33.211875,-87.545978,21.834590246354953,62.37958773252891,9.149270990447462,162.78833584715937,258.3,6.263448969331322,1989
Alabama A&M,Alabama A & M University,2025-10-24T01:07:19.903300,34.783368,-86.568502,19.5420814479638,63.39366515837104,10.369683257918552,185.23780794369029,189.5,6.988939165409754,1989
Alabama State,Alabama State University,2025-10-24T01:07:19.903300,32.364317,-86.295677,22.359225741578683,61.959276018099544,10.264454499748618,169.5656108597285,244.5,6.067873303167421,1989
Albany,SUNY at Albany,2025-10-24T01:07:19.903300,42.685489,-73.824662,13.055756661639016,65.00251382604324,9.56163901458019,218.66616390145802,250.1,9.452991452991453,1989
Alcorn State,Alcorn State University,2025-10-24T01:07:19.903300,31.877216,-91.142854,23.097938662644548,62.36098541980895,9.930065359477124,153.166918049271,199.2,6.227249874308698,1989
Appalachian State,Appalachian State University,2025-10-24T01:07:19.903300,36.215536,-81.680583,13.528607340372046,69.23931623931624,11.445299145299145,218.3986928104575,505.5,12.720462543991955,1989
Arizona,University of Arizona,2025-10-24T01:07:19.903300,32.232672,-110.950815,25.250879839115132,26.045751633986928,7.808396178984414,179.48818501759678,31.3,1.9240824534942182,1989
Arizona State,Arizona State University Campus Immersion,2025-10-24T01:07:19.903300,33.417721,-111.934383,26.966968325791857,24.23479135243841,8.080392156862745,171.67521367521368,12.4,1.2433383609854198,1989
Arkansas,University of Arkansas,2025-10-24T01:07:19.903300,36.070009,-94.176981,18.73046757164404,59.89240824534942,10.839718451483158,165.53645047762694,200.5,6.0965309200603315,1989
Arkansas State,Arkansas State University,2025-10-24T01:07:19.903300,35.842388,-90.679988,19.328808446455504,64.48667672197084,11.441679235796883,151.5656108597285,322.3,7.341377576671694,1989
Arkansas-Pine Bluff,University of Arkansas at Pine Bluff,2025-10-24T01:07:19.903300,34.244031,-92.018683,21.12423328305681,62.536953242835594,10.240623428858722,130.9597787833082,311.8,7.563097033685269,1989
Army,United States Military Academy,2025-10-24T01:07:19.903300,41.390479,-73.956603,14.789039718451484,61.57516339869281,10.513071895424837,221.04575163398692,186.6,8.275515334338865,1989
Auburn,Auburn University,2025-10-24T01:07:19.903300,32.599378,-85.488258,21.47621920563097,62.23831070889894,10.414328808446454,160.61789844142785,348.7,7.124183006535947,1989
Austin Peay,Austin Peay State University,2025-10-24T01:07:19.903300,36.533319,-87.354081,18.975314228255407,62.36902966314731,9.968526897938663,174.28406234288587,303.4,8.386626445449975,1989
BYU,Brigham Young University-Provo,2025-10-24T01:07:19.903300,40.250851,-111.649281,14.132679738562093,46.85570638511815,6.102212166918049,182.8562091503268,128.8,7.905982905982906,1989
Ball State,Ball State University,2025-10-24T01:07:19.903300,40.203431,-85.409043,15.329311211664153,63.465057817998996,13.858320764203118,200.83961789844142,219.6,10.352941176470589,1989
Baylor,Baylor University,2025-10-24T01:07:19.903300,31.546872,-97.121041,24.886978381096025,51.820010055304174,12.313323278029161,162.67772750125692,236.7,5.9663147310206135,1989
Bethune Cookman,Bethune-Cookman University,2025-10-24T01:07:19.903300,29.207195,-81.032946,24.29819004524887,73.49622926093514,12.776872800402213,140.33634992458522,528.2,18.267471091000502,1989
Boise State,Boise State University,2025-10-24T01:07:19.903300,43.604284,-116.203301,14.523177476118653,48.27551533433886,9.056309703368527,213.88436400201107,65.9,5.165409753645048,1989
Boston College,Boston College,2025-10-24T01:07:19.903300,42.336213,-71.169242,13.653293112116643,64.2146807440925,12.644746103569634,208.9492207139266,215.2,7.610859728506787,1989
Bowling Green,Bowling Green State University-Main Campus,2025-10-24T01:07:19.903300,41.375513,-83.640896,15.299346405228759,61.58722976370035,14.620160884866767,204.65057817998994,152.1,8.799899446958271,1989
Bryant,Bryant University,2025-10-24T01:07:19.903300,41.920092,-71.539547,13.648768225238815,64.39265962795375,12.027853192559075,202.9894419306184,239.5,7.588235294117647,1989
Bucknell,Bucknell University,2025-10-24T01:07:19.903300,40.954317,-76.882616,14.388637506284566,64.61538461538461,9.006737053795877,198.7652086475616,213.9,9.093514328808446,1989
Buffalo,University at Buffalo,2025-10-24T01:07:19.903300,43.000942,-78.789458,13.399698340874812,69.6078431372549,12.457466063348416,207.94117647058823,324.2,13.258924082453495,1989
Cal Poly SLO,California Polytechnic State University-San Luis Obispo,2025-10-24T01:07:19.903300,35.299513,-120.657311,18.811664152840624,57.74308697838109,7.993262946204123,184.7144293614882,73.1,2.8250377073906487,1989
California,University of California-Berkeley,2025-10-24T01:07:19.903300,37.871918,-122.260463,16.965258924082455,66.19658119658119,10.24957264957265,184.49120160884866,160.9,6.180995475113122,1989
Campbell,Campbell University,2025-10-24T01:07:19.903300,35.409149,-78.738238,18.917295123177475,67.57214680744093,10.61256913021619,157.45751633986927,276.9,8.416792357968829,1989
Central Arkansas,University of Central Arkansas,2025-10-24T01:07:19.903300,35.077945,-92.457672,20.39693313222725,63.51885369532428,9.54997486173957,149.62644544997485,253.5,6.587229763700352,1989
Central Conn. State,Central Connecticut State University,2025-10-24T01:07:19.903300,41.692502,-72.765991,14.58466566113625,60.56158873805933,10.092006033182503,198.36601307189542,177.7,7.588738059326294,1989
Central Michigan,Central Michigan University,2025-10-24T01:07:19.903300,43.591203,-84.77525,13.447812971342383,63.8034188034188,12.593464052287583,208.28054298642533,140.3,8.734539969834087,1989
Charleston Southern,Charleston Southern University,2025-10-24T01:07:19.903300,32.983047,-80.072587,21.334640522875816,68.24886877828054,11.408848667672197,143.92257415786827,369.5,10.856209150326798,1989
Charlotte,University of North Carolina at Charlotte,2025-10-24T01:07:19.903300,35.306022,-80.730919,18.69009552538964,63.59276018099548,9.448114630467572,157.16038210155858,316.8,8.881347410759176,1989
Chattanooga,The University of Tennessee-Chattanooga,2025-10-24T01:07:19.903300,35.047519,-85.300247,19.397435897435898,64.21820010055305,8.558270487682254,161.48265460030166,186.4,7.038712921065862,1989
Cincinnati,University of Cincinnati-Main Campus,2025-10-24T01:07:19.903300,39.131159,-84.51428,16.655354449472096,62.48366013071895,10.63097033685269,193.9281045751634,271.3,9.943187531422826,1989
Citadel,Citadel Military College of South Carolina,2025-10-24T01:07:19.903300,32.797183,-79.958775,21.22845651080945,71.78733031674209,12.795575666163902,148.32227249874308,326.7,11.62041226747109,1989
Clemson,Clemson University,2025-10-24T01:07:19.903300,34.679381,-82.835114,19.58034188034188,62.88034188034188,9.24534942182001,148.1352438411262,233.1,7.660130718954249,1989
Coastal Carolina,Coastal Carolina University,2025-10-24T01:07:19.903300,33.794995,-79.011767,20.497938662644547,69.105580693816,10.74007038712921,155.33685268979386,428.1,11.22875816993464,1989
Colgate,Colgate University,2025-10-24T01:07:19.903300,42.819475,-75.536346,11.616189039718451,72.20010055304174,12.990296631473102,226.14328808446456,257.4,14.518350930115636,1989
Colorado,University of Colorado Boulder,2025-10-24T01:07:19.903300,40.008781,-105.270823,14.340522875816992,42.16088486676722,7.655404725992962,167.4590246354952,68.0,5.26395173453997,1989
Colorado State,Colorado State University-Fort Collins,2025-10-24T01:07:19.903300,40.574805,-105.080732,14.62569130216189,40.53242835595777,8.105429864253393,185.86274509803923,45.0,3.7767722473604826,1989
Connecticut,University of Connecticut,2025-10-24T01:07:19.903300,41.809098,-72.249948,13.456309703368527,62.56058320764203,11.791050779286074,214.38863750628457,233.8,7.914529914529915,1989
Delaware,University of Delaware,2025-10-24T01:07:19.903300,39.679577,-75.752822,16.449220713926596,60.39869281045752,10.91035696329814,207.94871794871796,212.7,7.790346907993967,1989
Delaware State,Delaware State University,2025-10-24T01:07:19.903300,39.187173,-75.54053,17.07073906485671,60.58974358974359,12.572247360482654,197.28406234288587,156.6,7.235294117647059,1989
Drake,Drake University,2025-10-24T01:07:19.903300,41.60129,-93.652163,14.26375062845651,64.04876822523882,13.392106586224234,197.05329311211665,146.5,6.120663650075414,1989
Duke,Duke University,2025-10-24T01:07:19.903300,36.001135,-78.937624,18.281900452488685,66.48014077425842,9.335696329813977,168.58220211161387,357.7,9.09904474610357,1989
Duquesne,Duquesne University,2025-10-24T01:07:19.903300,40.43589,-79.993123,15.229260935143287,65.2272498743087,10.68531925590749,203.6797385620915,321.7,11.986928104575163,1989
East Carolina,East Carolina University,2025-10-24T01:07:19.903300,35.607186,-77.368291,19.20050276520865,67.45600804424333,10.592709904474612,165.9492207139266,292.2,8.703871292106585,1989
East Tennessee State,East Tennessee State University,2025-10-24T01:07:19.903300,36.301643,-82.366954,17.2841628959276,62.148315736551034,8.831573655103067,201.2503770739065,222.8,9.209653092006032,1989
East Texas A&M,Texas A & M University-Commerce,2025-10-24T01:07:19.903300,33.243745,-95.908451,22.50236299648064,57.8034188034188,11.731523378582201,153.34841628959276,153.5,5.940673705379588,1989
Eastern Illinois,Eastern Illinois University,2025-10-24T01:07:19.903300,39.479843,-88.175658,15.974660633484163,62.619909502262445,13.17038712921066,195.97083961789843,171.4,8.301659125188538,1989
Eastern Kentucky,Eastern Kentucky University,2025-10-24T01:07:19.903300,37.740845,-84.300796,17.01151332327803,63.43640020110608,10.615887380593263,186.8647561588738,255.7,9.238813474107591,1989
Eastern Michigan,Eastern Michigan University,2025-10-24T01:07:19.903300,42.251675,-83.627443,14.089341377576671,67.54298642533936,13.01437908496732,210.02413273001508,216.1,10.208647561588737,1989
Eastern Washington,Eastern Washington University,2025-10-24T01:07:19.903300,47.490667,-117.583808,11.91850175967823,60.56158873805933,13.42569130216189,172.26495726495727,139.3,8.36299648064354,1989
Elon University,Elon University,2025-10-24T01:07:19.903300,36.104148,-79.50344,17.748466566113624,66.55907491201609,9.991603821015586,173.43740573152337,316.7,9.09049773755656,1989
FIU,Florida International University,2025-10-24T01:07:19.903300,25.75732,-80.373928,26.56998491704374,71.90899949723479,12.224585218702867,136.68275515334338,755.1,20.449974861739566,1989
Florida,University of Florida,2025-10-24T01:07:19.903300,29.64629,-82.347911,23.68712921065862,69.91704374057315,10.438662644544998,134.57214680744093,389.9,13.458521870286576,1989
Florida A&M,Florida Agricultural and Mechanical University,2025-10-24T01:07:19.903300,30.428504,-84.290226,23.12061337355455,67.51282051282051,10.456963298139769,131.84715937657114,380.7,10.243841126194067,1989
Florida Atlantic,Florida Atlantic University,2025-10-24T01:07:19.903300,26.372421,-80.102978,26.27239819004525,71.97838109602816,14.464856711915536,137.51633986928104,677.4,21.40975364504776,1989
Florida State,Florida State University,2025-10-24T01:07:19.903300,30.440756,-84.291921,23.169079939668176,66.48818501759678,10.337807943690297,131.78934137757668,376.8,10.011060834590246,1989
Fordham,Fordham University,2025-10-24T01:07:19.903300,40.859354,-73.882705,15.542785319255907,59.38914027149321,11.946656611362494,204.95927601809956,165.9,7.842634489693313,1989
Fresno State,California State University-Fresno,2025-10-24T01:07:19.903300,36.811154,-119.744569,21.381649069884364,47.18702865761689,6.818702865761689,228.05982905982907,78.2,2.982905982905983,1989
Furman,Furman University,2025-10-24T01:07:19.903300,34.924676,-82.440458,18.722272498743088,63.553041729512316,9.221820010055305,139.16641528406234,225.9,7.902966314731021,1989
Gardner Webb,Gardner-Webb University,2025-10-24T01:07:19.903300,35.24732,-81.668141,18.40729009552539,64.68476621417798,9.168677727501256,159.60633484162895,384.3,8.091503267973856,1989
Georgia,University of Georgia,2025-10-24T01:07:19.903300,33.956262,-83.374039,20.10824534942182,60.64756158873806,10.061236802413273,159.03821015585723,178.6,7.304172951231775,1989
Georgia Southern,Georgia Southern University,2025-10-24T01:07:19.903300,32.426153,-81.784045,21.65087983911513,64.24484665661136,11.844544997486173,150.930115635998,415.1,9.108094519859225,1989
Georgia State,Georgia State University,2025-10-24T01:07:19.903300,33.7527,-84.38667,19.779336349924584,62.077425842131724,11.648014077425843,189.05429864253395,188.9,6.723981900452489,1989
Georgia Tech,Georgia Institute of Technology-Main Campus,2025-10-24T01:07:19.903300,33.77242,-84.394832,19.830417295123176,62.08848667672197,11.648014077425843,189.05429864253395,188.9,6.723981900452489,1989
Grambling State,Grambling State University,2025-10-24T01:07:19.903300,32.523797,-92.713245,22.823177476118655,60.625942684766216,9.690397184514833,146.7259929612871,255.1,7.830065359477124,1989
Hampton,Hampton University,2025-10-24T01:07:19.903300,37.019944,-76.339161,18.68466566113625,65.23177476118653,14.959125188536953,165.49723479135244,200.7,7.610356963298139,1989
Hawaii,University of Hawaii at Manoa,2025-10-24T01:07:19.903300,21.298598,-157.818979,24.771191553544494,76.53745600804424,21.916591251885368,78.25842131724485,42.6,6.465560583207642,1989
Hofstra,Hofstra University,2025-10-24T01:07:19.903300,40.715959,-73.60078,15.38964303670186,63.60130718954248,11.720060331825039,200.71493212669682,220.1,8.10306686777275,1989
Holy Cross,College of the Holy Cross,2025-10-24T01:07:19.903300,42.23752,-71.808214,13.08763197586727,64.46153846153847,11.861890397184515,208.56309703368527,214.2,8.305681246857718,1989
Houston,University of Houston,2025-10-24T01:07:19.903300,29.720393,-95.343537,24.51628959276018,68.37908496732027,11.03383609854198,147.43489190548013,416.5,12.89894419306184,1989
Houston Baptist,Houston Baptist University,2025-10-24T01:07:19.903300,29.693819,-95.515954,24.882302664655608,65.59074912016088,10.960935143288085,145.1292106586224,374.1,11.66163901458019,1989
Houston Christian,Houston Baptist University,2025-10-24T01:07:19.903300,29.693819,-95.515954,24.882302664655608,65.59074912016088,10.960935143288085,145.1292106586224,374.1,11.66163901458019,1989
Howard,Howard University,2025-10-24T01:07:19.903300,38.922392,-77.018966,16.67305178481649,64.6923076923077,10.084615384615384,205.07290095525389,246.3,9.558069381598793,1989
Idaho,University of Idaho,2025-10-24T01:07:19.903300,46.727406,-117.014167,12.203871292106585,59.44796380090498,12.738109602815484,195.79135243841125,202.9,11.147812971342383,1989
Idaho State,Idaho State University,2025-10-24T01:07:19.903300,42.863832,-112.432312,13.098692810457516,47.442936148818504,10.943640020110609,208.11664152840623,66.7,7.0130718954248366,1989
Illinois,University of Illinois at Urbana-Champaign,2025-10-24T01:07:19.903300,40.104718,-88.229114,15.451432880844646,62.31020613373555,13.956963298139769,197.23227752639517,141.6,7.535444947209653,1989
Illinois State,Illinois State University,2025-10-24T01:07:19.903300,40.509403,-88.990058,15.143991955756663,61.6998491704374,14.752237305178483,203.105580693816,108.4,6.806435394670689,1989
Incarnate Word,University of the Incarnate Word,2025-10-24T01:07:19.903300,29.46708,-98.46583,25.68391151332328,53.495726495726494,10.97430869783811,137.00301659125188,126.8,7.705882352941177,1989
Indiana,Indiana University-Bloomington,2025-10-24T01:07:19.903300,39.16609,-86.526559,16.29281045751634,63.109100050276524,11.03700351935646,198.34389140271495,261.1,9.429864253393665,1989
Indiana State,Indiana State University,2025-10-24T01:07:19.903300,39.469073,-87.407846,16.289894419306183,64.01005530417295,11.477928607340372,196.9155354449472,245.2,8.986928104575163,1989
Iowa,University of Iowa,2025-10-24T01:07:19.903300,41.661935,-91.536425,14.369281045751634,63.62292609351433,14.44198089492207,200.10105580693815,112.7,5.81850175967823,1989
Iowa State,Iowa State University,2025-10-24T01:07:19.903300,42.026212,-93.648504,13.995625942684766,63.535444947209655,14.72820512820513,197.4695827048768,138.1,6.310206133735545,1989
Jackson State,Jackson State University,2025-10-24T01:07:19.903300,32.296105,-90.207405,22.304273504273503,63.82051282051282,10.34705882352941,157.38612368024133,232.0,7.2493715434891906,1989
Jacksonville State,Jacksonville State University,2025-10-24T01:07:19.903300,33.822938,-85.765321,20.58939165409754,61.18401206636501,10.326143790849674,178.1015585721468,181.8,6.356460532931121,1989
James Madison,James Madison University,2025-10-24T01:07:19.903300,38.436311,-78.870484,15.396128707893414,62.81447963800905,8.657717445952741,189.02061337355454,235.1,8.82905982905983,1989
Kansas,University of Kansas,2025-10-24T01:07:19.903300,38.958549,-95.247567,17.008949220713927,58.834087481146305,12.253645047762696,178.94620412267471,150.9,5.374057315233785,1989
Kansas State,Kansas State University,2025-10-24T01:07:19.903300,39.188648,-96.581077,17.37229763700352,55.88989441930618,13.65158371040724,174.34489693313222,147.8,4.457013574660634,1989
Kennesaw State,Kennesaw State University,2025-10-24T01:07:19.903300,34.038807,-84.583052,19.31437908496732,63.641528406234286,11.240623428858722,198.64002011060833,188.8,6.764705882352941,1989
Kent State,Kent State University at Kent,2025-10-24T01:07:19.903300,41.146653,-81.342533,14.299648064353947,66.7008547008547,12.517596782302665,213.82101558572145,306.7,12.953745600804424,1989
Kentucky,University of Kentucky,2025-10-24T01:07:19.903300,38.038911,-84.504747,16.750377073906485,64.4449472096531,10.778481649069885,193.09451985922576,237.6,9.401709401709402,1989
LIU,Long Island University,2025-10-24T01:07:19.903300,40.820714,-73.593678,15.243941679235798,62.42634489693313,12.00316742081448,201.0960281548517,218.7,7.914027149321267,1989
LSU,Louisiana State University and Agricultural & Mechanical College,2025-10-24T01:07:19.903300,30.414986,-91.178921,23.97124183006536,66.36349924585218,10.862845651080946,153.22272498743087,439.7,9.994972347913524,1989
Lafayette,Lafayette College,2025-10-24T01:07:19.903300,40.69956,-75.209786,15.194871794871794,60.12016088486677,10.539416792357969,209.34087481146304,237.2,8.28054298642534,1989
Lamar,Lamar University,2025-10-24T01:07:19.903300,30.042738,-94.072244,24.340975364504775,68.2483660130719,10.871543489190548,147.20814479638008,391.9,11.134238310708898,1989
Lehigh,Lehigh University,2025-10-24T01:07:19.903300,40.606822,-75.380236,15.305681246857718,60.125188536953246,10.81774761186526,207.07642031171443,242.7,8.297637003519357,1989
Liberty,Liberty University,2025-10-24T01:07:19.903300,37.350232,-79.18222,16.910507792860734,63.920563097033686,9.741327300150829,186.71091000502764,283.5,8.380593262946205,1989
Lindenwood,Lindenwood University,2025-10-24T01:07:19.903300,38.785425,-90.501286,16.77576671694319,64.28205128205128,11.49165409753645,186.12770236299647,267.0,7.961287078934138,1989
Louisiana Tech,Louisiana Tech University,2025-10-24T01:07:19.903300,32.528297,-92.649963,22.62604323780794,61.75062845651081,9.460834590246355,144.28707893413775,254.9,7.528908999497235,1989
Louisville,University of Louisville,2025-10-24T01:07:19.903300,38.216862,-85.760412,17.581950729009552,63.53393665158371,9.53700351935646,181.26294620412267,230.2,8.06184012066365,1989
Maine,University of Maine,2025-10-24T01:07:19.903300,44.899257,-68.669332,11.619708396178984,68.12669683257919,10.730316742081447,213.30769230769232,217.9,9.967320261437909,1989
Marshall,Marshall University,2025-10-24T01:07:19.903300,38.422482,-82.428964,17.747812971342384,60.77325289089995,9.162745098039217,204.31271995977878,233.6,9.335847159376572,1989
Maryland,University of Maryland-College Park,2025-10-24T01:07:19.903300,38.988178,-76.944721,16.609502262443442,64.298139768728,10.290899949723478,198.29260935143287,272.3,9.041729512317747,1989
Massachusetts,University of Massachusetts-Amherst,2025-10-24T01:07:19.903300,42.385999,-72.526728,13.398391151332328,64.2272498743087,9.113574660633486,204.98692810457516,229.7,8.330316742081449,1989
McNeese State,McNeese State University,2025-10-24T01:07:19.903300,30.178187,-93.217222,24.075314228255404,68.88637506284564,11.431925590749119,145.0402212166918,309.2,9.297637003519357,1989
Memphis,University of Memphis,2025-10-24T01:07:19.903300,35.118878,-89.938068,20.08562091503268,64.76671694318753,10.922222222222222,165.3750628456511,408.4,8.008547008547009,1989
Mercer,Mercer University,2025-10-24T01:07:19.903300,32.831787,-83.648295,21.405681246857718,61.22875816993464,9.857365510306687,165.2569130216189,207.9,7.387129210658623,1989
Merrimack,Merrimack College,2025-10-24T01:07:19.903300,42.668344,-71.124216,13.340723981900453,63.48265460030166,11.190145801910509,214.41478129713423,261.2,7.6797385620915035,1989
Miami (FL),University of Miami,2025-10-24T01:07:19.903300,25.72126,-80.278662,26.615837104072398,71.60532931121166,13.612317747611867,136.1955756661639,727.6,21.568124685771746,1989
Miami (OH),Miami University-Oxford,2025-10-24T01:07:19.903300,39.507757,-84.732954,15.874962292609352,63.3202614379085,12.400804424333836,199.9482151835093,226.5,9.459527400703871,1989
Michigan,University of Michigan-Ann Arbor,2025-10-24T01:07:19.903300,42.275921,-83.742769,13.855103066867773,67.47913524384113,13.06068376068376,211.6098541980895,181.2,10.39819004524887,1989
Michigan State,Michigan State University,2025-10-24T01:07:19.903300,42.73212,-84.476111,13.839064856711916,66.25842131724485,12.870135746606335,203.74358974358975,160.9,9.310708898944194,1989
Middle Tennessee,Middle Tennessee State University,2025-10-24T01:07:19.903300,35.848005,-86.360618,19.33328305681247,62.5761689291101,9.895827048768226,193.9281045751634,282.5,7.885872297637004,1989
Minnesota,University of Minnesota-Twin Cities,2025-10-24T01:07:19.903300,44.972851,-93.235464,12.221920563097035,64.33484162895928,12.149069884364001,207.16641528406234,194.2,7.4434389140271495,1989
Mississippi State,Mississippi State University,2025-10-24T01:07:19.903300,33.454852,-88.790139,21.245198592257413,63.34389140271493,10.015133232780292,164.29964806435396,216.7,6.544997486173957,1989
Mississippi Valley State,Mississippi Valley State University,2025-10-24T01:07:19.903300,33.514142,-90.341274,21.65721468074409,63.670688788335845,11.137405731523378,159.89693313222725,336.5,7.082956259426847,1989
Missouri,University of Missouri-Columbia,2025-10-24T01:07:19.903300,38.94531,-92.328843,16.888838612368026,60.79537456008044,11.07833081950729,186.72649572649573,163.8,6.339366515837104,1989
Missouri State,Missouri State University-Springfield,2025-10-24T01:07:19.903300,37.199258,-93.281281,17.83911513323278,59.975364504776266,11.630065359477124,180.46053293112118,116.2,4.874308697838109,1989
Monmouth,Monmouth University,2025-10-24T01:07:19.903300,40.280066,-74.006447,16.21256913021619,60.85118149824032,13.2771744595274,194.20814479638008,236.4,8.116641528406234,1989
Montana,The University of Montana,2025-10-24T01:07:19.903300,46.859312,-113.982912,11.630165912518855,56.6385118149824,5.776068376068376,167.19607843137254,88.6,8.05580693815988,1989
Montana State,Montana State University,2025-10-24T01:07:19.903300,45.666726,-111.048812,10.372800402212167,49.69281045751634,6.064957264957266,178.63197586726997,61.0,6.319255907491201,1989
